"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"Guam Community College","Mangilao","GU",1,3,2
"University of Guam","Mangilao","GU",1,4,3
"Northern Marianas College","Saipan","MP",1,3,2
"Institute of Beauty Careers","Arecibo","PR",3,1,1
"American Educational College","Bayamon","PR",3,1,1
"Antilles School of Technical Careers","San Juan","PR",3,1,1
"Universidad Adventista de las Antillas","Mayaguez","PR",2,4,3
"Atlantic University","Guaynabo","PR",2,4,3
"Universidad Central de Bayamon","Bayamón","PR",2,4,3
"Columbia Central University-Caguas","Caguas","PR",3,4,1
"Albizu University-San Juan","San Juan","PR",2,4,3
"Caribbean University-Bayamon","Bayamon","PR",2,4,1
"Caribbean University-Carolina","Carolina","PR",2,4,3
"Pontifical Catholic University of Puerto Rico-Arecibo","Arecibo","PR",2,4,3
"Pontifical Catholic University of Puerto Rico-Ponce","Ponce","PR",2,4,3
"CEM College-San Juan","San Juan","PR",3,3,2
"Universidad Teologica del Caribe","Trujillo Alto","PR",2,4,3
"Colegio Universitario de San Juan","San Juan","PR",1,3,3
"Universidad Ana G. Mendez-Cupey Campus","San Juan","PR",2,4,3
"Puerto Rico Conservatory of Music","San Juan","PR",1,4,3
"Center for Advanced Studies On Puerto Rico and the Caribbean","San Juan","PR",2,4,4
"EDP University of Puerto Rico Inc-San Sebastian","San Sebastian","PR",2,4,2
"Emma's Beauty Academy-Mayaguez","Mayaguez","PR",3,1,1
"Escuela de Artes Plasticas y Diseno de Puerto Rico","San Juan","PR",1,3,3
"Instituto Tecnologico de Puerto Rico-Recinto de Manati","Manati","PR",1,2,2
"Huertas College","Caguas","PR",3,3,1
"Humacao Community College","Humacao","PR",2,3,2
"ICPR Junior College-Arecibo","Arecibo","PR",3,2,1
"ICPR Junior College-Mayaguez","Mayaguez","PR",3,2,1
"Instituto Tecnologico de Puerto Rico-Recinto de Guayama","Guayama","PR",1,2,2
"Instituto Tecnologico de Puerto Rico-Recinto de San Juan","San Juan","PR",1,2,2
"Inter American University of Puerto Rico-San German","San German","PR",2,4,3
"Inter American University of Puerto Rico-Aguadilla","Aguadilla","PR",2,4,3
"Inter American University of Puerto Rico-Arecibo","Arecibo","PR",2,4,3
"Inter American University of Puerto Rico-Barranquitas","Barranquitas","PR",2,4,3
"Inter American University of Puerto Rico-Metro","San Juan","PR",2,4,3
"Inter American University of Puerto Rico-Ponce","Mercedita","PR",2,4,3
"Inter American University of Puerto Rico-Fajardo","Fajardo","PR",2,4,3
"Inter American University of Puerto Rico-Guayama","Guayama","PR",2,4,3
"Inter American University of Puerto Rico-Bayamon","Bayamon","PR",2,4,3
"Inter American University of Puerto Rico-School of Law","San Juan","PR",2,4,4
"Liceo de Arte y Tecnologia","San Juan","PR",3,1,1
"Modern Hairstyling Institute-Bayamon","Bayamon","PR",3,1,1
"Modern Hairstyling Institute-Arecibo","Arecibo","PR",3,1,1
"NUC University","Bayamon","PR",3,4,1
"Ponce Health Sciences University","Ponce","PR",3,4,4
"University of Puerto Rico-Aguadilla","Aguadilla","PR",1,3,3
"University of Puerto Rico-Arecibo","Arecibo","PR",1,3,3
"University of Puerto Rico-Bayamon","Bayamon","PR",1,3,3
"University of Puerto Rico-Carolina","Carolina","PR",1,3,3
"University of Puerto Rico at Cayey","Cayey","PR",1,3,3
"University of Puerto Rico-Humacao","Humacao","PR",1,3,3
"University of Puerto Rico-Utuado","Utuado","PR",1,3,2
"University of Puerto Rico-Mayaguez","Mayaguez","PR",1,4,3
"University of Puerto Rico-Medical Sciences","San Juan","PR",1,4,3
"University of Puerto Rico at Ponce","Ponce","PR",1,3,3
"University of Puerto Rico-Rio Piedras","San Juan","PR",1,4,3
"Universidad Ana G. Mendez-Carolina Campus","Carolina","PR",2,4,3
"Universidad del Sagrado Corazon","Santurce","PR",2,4,3
"Seminario Evangelico de Puerto Rico","San Juan","PR",2,4,4
"Universidad Central Del Caribe","Bayamon","PR",2,4,1
"Universidad Politecnica de Puerto Rico","Hato Rey","PR",2,4,3
"Pontifical Catholic University of Puerto Rico-Mayaguez","Mayaguez","PR",2,4,3
"Universidad Ana G. Mendez-Gurabo Campus","Gurabo","PR",2,4,3
"College of Micronesia-FSM","Pohnpei","FM",1,3,2
"Palau Community College","Koror","PW",1,2,2
"University of the Virgin Islands","Charlotte Amalie","VI",1,4,3
"Stanford University","Stanford","CA",2,4,3
"Purdue University-Main Campus","West Lafayette","IN",1,4,3
"Blue Hills Regional Technical School","Canton","MA",1,1,1
"Parker University","Dallas","TX",2,4,2
"EDP University of Puerto Rico Inc-San Juan","San Juan","PR",2,4,2
"ICPR Junior College","Hato Rey","PR",3,2,1
"City College-Hollywood","Hollywood","FL",3,3,1
"Meridian College","Sarasota","FL",3,2,1
"Georgia State University-Perimeter College","Atlanta","GA",1,2,2
"Georgia Piedmont Technical College","Clarkston","GA",1,2,1
"ETI School of Skilled Trades","Willowbrook","IL",3,1,1
"Traxlers School of Hair","Jackson","MS",3,1,1
"Warren County Community College","Washington","NJ",1,2,2
"St. John's College","Santa Fe","NM",2,4,3
"Bais Medrash Elyon","Monsey","NY",2,3,3
"Antioch University-Los Angeles","Culver City","CA",2,4,3
"Antioch University-Santa Barbara","Santa Barbara","CA",2,4,3
"Antioch University-New England","Keene","NH",2,4,4
"Antioch University-Seattle","Seattle","WA",2,4,1
"Antioch University","Yellow Springs","OH",2,4,3
"Mid-America Christian University","Oklahoma City","OK",2,4,3
"Miller-Motte College-Tulsa","Tulsa","OK",3,2,2
"Ponca City Beauty College","Ponca City","OK",3,1,1
"Francis Tuttle Technology Center","Oklahoma City","OK",1,1,1
"Central Technology Center","Drumright","OK",1,1,1
"Carrington College-Portland","Portland","OR",3,1,1
"Career Technology Center of Lackawanna County","Scranton","PA",1,1,1
"Palo Alto College","San Antonio","TX",1,2,2
"UCAS University of Cosmetology Arts & Sciences-San Antonio 410","San Antonio","TX",3,1,1
"Central Texas Beauty College-Round Rock","Round Rock","TX",3,1,1
"HJ International Graduate School for Peace and Public Leadership","New York","NY",2,4,4
"Athens Technical College","Athens","GA",1,2,1
"GateWay Community College-Central City","Phoenix","AZ",1,1,1
"Carrington College-San Leandro Campus","San Leandro","CA",3,2,1
"Headmasters School of Hair Design","Lewiston","ID",3,1,1
"The Salon Professional Academy-Nampa","Nampa","ID",3,1,1
"Beckfield College-Florence","Florence","KY",3,3,2
"Dorsey College-Wayne","Wayne","MI",3,1,1
"Ecumenical Theological Seminary","Detroit","MI",2,4,1
"Ross Medical Education Center-Saginaw","Saginaw","MI",3,1,1
"Sussex County Community College","Newton","NJ",1,2,2
"Landmark College","Putney","VT",2,4,2
"Yeshiva Gedolah of Greater Detroit","Oak Park","MI",2,3,3
"Collin County Community College District","McKinney","TX",1,3,2
"Owensboro Community and Technical College","Owensboro","KY",1,2,1
"Allure Beauty College","Whitesburg","KY",3,1,1
"Cloyd's Beauty School 3 Inc","Monroe","LA",3,1,1
"Moore Norman Technology Center","Norman","OK",1,1,1
"Fayette County Career & Technical Institute Practical Nursing Program","Uniontown","PA",1,1,1
"Franklin County Career and Technology Center","Chambersburg","PA",1,1,1
"Paul Mitchell the School-Knoxville","Knoxville","TN",3,1,1
"Ogle School Hair Skin Nails-Hurst","Hurst","TX",3,1,1
"Tennessee College of Applied Technology Nashville","Nashville","TN",1,1,1
"ECPI University","Virginia Beach","VA",3,4,2
"Ms Roberts Academy of Beauty Culture","Hillside","IL",3,1,1
"Paul Mitchell the School-Houston","Houston","TX",3,1,1
"Fortis Institute-Forty Fort","Forty Fort","PA",3,2,1
"Laurel Business Institute","Uniontown","PA",3,2,1
"Aviation Institute of Maintenance-Philadelphia","Philadelphia","PA",3,1,1
"Dorsey College-Roseville","Roseville","MI",3,1,1
"Moler-Pickens Beauty Academy","Fairfield","OH",3,1,1
"Red River Technology Center","Duncan","OK",1,1,1
"Southern Union State Community College","Wadley","AL",1,2,1
"South University-Columbia","Columbia","SC",3,4,3
"Clinton Technical School","Clinton","MO",1,1,1
"Greene County Career and Technology Center","Waynesburg","PA",1,1,1
"Lac Courte Oreilles Ojibwe University","Hayward","WI",1,3,2
"Diesel Driving Academy-Shreveport","Shreveport","LA",3,1,1
"Pima Medical Institute-Mesa","Mesa","AZ",3,2,2
"Platt College-Los Angeles","Alhambra","CA",3,3,2
"Platt College-Aurora","Greenwood Village","CO",3,3,3
"Paul Mitchell the School-Boise","Boise","ID",3,1,1
"Educators of Beauty College of Cosmetology-Rockford","Rockford","IL",3,1,1
"Northwestern College","Oak Lawn","IL",3,2,2
"Douglas J Aveda Institute","East Lansing","MI",3,1,1
"Ross Medical Education Center-Brighton","Brighton","MI",3,1,1
"Ross Medical Education Center-Ann Arbor","Ann Arbor","MI",3,1,1
"Dorsey School of Beauty","Taylor","MI",3,1,1
"Pike-Lincoln Technical Center","Eolia","MO",1,1,1
"St Charles Community College","Cottleville","MO",1,2,2
"University of Massachusetts Global","Irvine","CA",1,4,3
"New College of Florida","Sarasota","FL",1,4,3
"Montana Bible College","Billings","MT",2,3,1
"Conservatory of Recording Arts and Sciences","Tempe","AZ",3,1,1
"Adrian's Beauty College of Turlock","Turlock","CA",3,1,1
"San Joaquin Valley College-Fresno","Fresno","CA",3,2,1
"Dr. Ida Rolf Institute","Boulder","CO",2,1,1
"Aveda Institute-Fort Myers","Fort Myers","FL",3,1,1
"Ross Medical Education Center-Port Huron","Port Huron","MI",3,1,1
"Raphael's School of Beauty Culture Inc-Alliance","Alliance","OH",3,1,1
"Metro Technology Centers","Oklahoma City","OK",1,1,1
"Luna Community College","Las Vegas","NM",1,2,2
"Grabber School of Hair Design","St. Louis","MO",3,1,1
"Yeshivah Gedolah Rabbinical College","Miami Beach","FL",2,3,3
"Raphael's School of Beauty Culture Inc-Brunswick","Brunswick","OH",3,1,1
"Caribbean University-Ponce","Ponce","PR",2,4,3
"Caribbean University-Vega Baja","Vega Baja","PR",2,4,3
"University of Advancing Technology","Tempe","AZ",3,4,3
"Paradise Valley Community College","Phoenix","AZ",1,2,2
"Chandler-Gilbert Community College","Chandler","AZ",1,2,1
"Great Plains Technology Center","Lawton","OK",1,1,1
"Roane-Jackson Technical Center","Leroy","WV",1,1,1
"Pioneer Technology Center","Ponca City","OK",1,1,1
"Portage Lakes Career Center","Uniontown","OH",1,1,1
"Bell Mar Beauty College","Cicero","IL",3,1,1
"Caddo Kiowa Technology Center","Fort Cobb","OK",1,1,1
"Center for Instruction Technology & Innovation","Mexico","NY",1,1,1
"International School of Skin Nailcare & Massage Therapy","Sandy Springs","GA",3,1,1
"Palomar Institute of Cosmetology","San Marcos","CA",3,1,1
"Southern Oklahoma Technology Center","Ardmore","OK",1,1,1
"Autry Technology Center","Enid","OK",1,1,1
"Greene County Career Center","Xenia","OH",1,1,1
"Canadian Valley Technology Center","El Reno","OK",1,1,1
"Wilkes-Barre Area Career and Technical Center Practical Nursing","Wilkes Barre","PA",1,1,1
"Meridian Technology Center","Stillwater","OK",1,1,1
"Waynesville Career Center","Waynesville","MO",1,1,1
"Capitol Beauty School","Omaha","NE",3,1,1
"Morris County Vocational School District","Denville","NJ",1,1,1
"Ross Medical Education Center-Roosevelt Park","Roosevelt Park","MI",3,1,1
"Ross Medical Education Center-Kentwood","Kentwood","MI",3,1,1
"South Florida Bible College and Theological Seminary","Deerfield Beach","FL",2,4,2
"Cloyd's Barber School 2 Inc","Monroe","LA",3,1,1
"Universal Technical Institute of Illinois Inc","Lisle","IL",3,1,1
"Pennsylvania College of Technology","Williamsport","PA",1,4,2
"Commonwealth Institute of Funeral Service","Houston","TX",2,2,2
"Delta College of Arts & Technology","Baton Rouge","LA",3,2,1
"Stone Child College","Box Elder","MT",1,3,2
"New York Academy of Art","New York","NY",2,4,4
"Suffolk County Community College","Selden","NY",1,2,2
"Las Positas College","Livermore","CA",1,2,2
"Ogeechee Technical College","Statesboro","GA",1,2,1
"Remington College-Mobile Campus","Mobile","AL",2,2,1
"Southern Technical College","Fort Myers","FL",3,3,1
"Mercy-St Luke's School of Radiologic Technology","Cedar Rapids","IA",2,1,1
"Northwest Technology Center-Alva","Alva","OK",1,1,1
"Mercer County Career Center","Mercer","PA",1,0,1
"California State University-San Marcos","San Marcos","CA",1,4,3
"Hairmasters Institute of Cosmetology","Bloomington","IL",3,1,1
"Tricoci University of Beauty Culture LLC-Bloomington","Bloomington","IN",3,1,1
"Interactive College of Technology-Newport","Newport","KY",3,1,1
"Miller-Motte College-McCann-Monroe","Monroe","LA",3,2,1
"Ross Medical Education Center-Taylor","Taylor","MI",3,1,1
"Interactive College of Technology","Houston","TX",3,2,1
"Butler Beauty Academy-New Castle Beauty Academy","New Castle","PA",3,1,1
"NorthWest Arkansas Community College","Bentonville","AR",1,2,2
"H W Brewster Technical College","Tampa","FL",1,1,1
"Hodges University","Fort Myers","FL",2,4,3
"University of St. Augustine for Health Sciences","San Marcos","CA",3,4,4
"Capital Area Career Center","Springfield","IL",1,1,1
"Hair Professionals Career College","Palos Hills","IL",3,1,1
"Empire Beauty School-Bloomfield","Bloomfield","NJ",3,1,1
"Southwest Technology Center","Altus","OK",1,1,1
"Western Area Career & Technology Center","Canonsburg","PA",1,1,1
"Nossi College of Art and Design","Nashville","TN",3,3,3
"Pima Medical Institute-Seattle","Seattle","WA",3,2,1
"Mineral County Vocational Technical Center","Keyser","WV",1,1,1
"Hypnosis Motivation Institute","Tarzana","CA",2,1,1
"Thanh Le College School of Cosmetology","Garden Grove","CA",3,1,1
"Southeastern Technical College","Vidalia","GA",1,2,1
"Massachusetts School of Law","Andover","MA",2,4,4
"Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","Orlando","FL",3,2,2
"Erwin Technical College","Tampa","FL",1,1,1
"Rosel School of Cosmetology","Niles","IL",3,1,1
"Worsham College of Mortuary Science","Wheeling","IL",3,2,2
"Bryan University","Springfield","MO",3,4,2
"Oregon College of Oriental Medicine","Portland","OR",2,4,4
"Central Pennsylvania Institute of Science and Technology","Pleasant Gap","PA",1,2,1
"Northwest Educational Center","Houston","TX",3,1,1
"PCI Health Training Center","Dallas","TX",3,1,1
"Hamrick School","Medina","OH",3,1,1
"Fortis College","Mobile","AL",3,1,1
"Downey Adult School","Downey","CA",1,1,1
"CRU Institute of Cosmetology and Barbering","Garden Grove","CA",3,1,1
"Modern Technology School","Fountain Valley","CA",3,1,1
"National Career Education","Citrus Heights","CA",3,1,1
"North-West College-Glendale","Glendale","CA",3,1,1
"Fremont University","Cerritos","CA",3,4,2
"Pomona Unified School District Adult and Career Education","Pomona","CA",1,1,1
"Universal College of Beauty Inc-Los Angeles 2","Los Angeles","CA",3,1,1
"IBMC College","Fort Collins","CO",3,2,1
"Avalon Institute-Aurora","Aurora","CO",3,1,1
"Academy of Cosmetology","Merritt Island","FL",3,1,1
"Fortis College-Smyrna","Smyrna","GA",3,2,1
"Ross College-Davenport","Davenport","IA",3,2,1
"Pivot Point Academy","Bloomingdale","IL",3,1,1
"Blalock's Professional Beauty College","Shreveport","LA",3,1,1
"Diesel Driving Academy-Baton Rouge","Baton Rouge","LA",3,1,1
"New England Hair Academy","Malden","MA",3,1,1
"Rob Roy Academy-Worcester","Worcester","MA",3,1,1
"Upper Cape Cod Regional Technical School","Bourne","MA",1,1,1
"All-State Career-Baltimore","Baltimore","MD",3,1,1
"Adler Graduate School","Minnetonka","MN",2,4,4
"Academy of Hair Design-Jackson","Jackson","MS",3,1,1
"KC's School of Hair Design","Pontotoc","MS",3,1,1
"Lincoln Technical Institute-Moorestown","Moorestown","NJ",3,1,1
"MCVSD","Freehold","NJ",1,1,1
"Yeshiva Gedolah Imrei Yosef D'spinka","Brooklyn","NY",2,3,3
"Knox County Career Center","Mount Vernon","OH",1,1,1
"Madison Adult Career Center","Mansfield","OH",1,1,1
"Remington College-Cleveland Campus","Cleveland","OH",2,2,1
"Brown & Clermont Adult Career Campuses","Bethel","OH",1,1,1
"Chisholm Trail Technology Center","Omega","OK",1,1,1
"Gordon Cooper Technology Center","Shawnee","OK",1,1,1
"Kiamichi Technology Center-McAlester","McAlester","OK",1,1,1
"YTI Career Institute-Altoona","Altoona","PA",3,2,2
"Eastern Center for Arts and Technology","Willow Grove","PA",1,1,1
"Empire Beauty School-Center City Philadelphia","Philadelphia","PA",3,1,1
"CEM College-Humacao","Humacao","PR",3,3,2
"Colegio Mayor de Tecnologia Inc","Arroyo","PR",3,1,1
"Institucion Chaviano de Mayaguez","Mayaguez","PR",3,1,1
"Liceo de Arte-Dise-O y Comercio","Caguas","PR",3,1,1
"Universal Technology College of Puerto Rico","Aguadilla","PR",2,3,1
"Academy of Hair Technology","Greenville","SC",3,1,1
"Mr Wayne's School of Unisex Hair Design","Cookeville","TN",3,1,1
"Queen City College","Clarksville","TN",3,1,1
"College of the Marshall Islands","Majuro","MH",1,3,2
"Remington College-Fort Worth Campus","North Richland Hills","TX",2,2,1
"UCAS University of Cosmetology Arts & Sciences","San Antonio","TX",3,1,1
"School of Automotive Machinists & Technology","Houston","TX",3,2,1
"Nuvani Institute","San Antonio","TX",3,1,1
"Nuvani Institute","Eagle Pass","TX",3,1,1
"Texas College of Cosmetology-Abilene","Abilene","TX",3,1,1
"Centura College-Newport News","Newport News","VA",3,1,1
"Centura College-Norfolk","Norfolk","VA",3,2,1
"Virginia Beach City Public Schools School of Practical Nursing","Virginia Beach","VA",1,1,1
"Northwest College of Art & Design","Tacoma","WA",3,3,3
"University of Washington-Bothell Campus","Bothell","WA",1,4,3
"University of Washington-Tacoma Campus","Tacoma","WA",1,4,3
"Huntington School of Beauty Culture","Huntington","WV",3,1,1
"Valley College-Beckley","Beckley","WV",3,1,1
"Valley College-Martinsburg","Martinsburg","WV",3,3,1
"Bellus Academy-Poway","Poway","CA",3,1,1
"Capstone College","Pasadena","CA",3,1,1
"Central Coast College","Salinas","CA",3,2,1
"Pacific College of Health and Science","San Diego","CA",3,4,1
"Artistic Nails and Beauty Academy-Tampa","Tampa","FL",3,1,1
"National Aviation Academy of Tampa Bay","Clearwater","FL",3,1,1
"Madison Oneida BOCES-Practical Nursing Program","Verona","NY",1,1,1
"College of Health Care Professions","Houston","TX",3,2,1
"Center for Advanced Legal Studies","Houston","TX",3,2,1
"Houston Training School-Main Campus","Houston","TX",3,1,1
"Bay Mills Community College","Brimley","MI",1,3,1
"Fond du Lac Tribal and Community College","Cloquet","MN",1,2,2
"Northwest Indian College","Bellingham","WA",1,3,2
"Provo College","Provo","UT",3,3,3
"CET-Coachella","Coachella","CA",2,1,1
"CET-Oxnard","Oxnard","CA",2,1,1
"CET-Santa Maria","Santa Maria","CA",2,1,1
"Colorado Chinese Medicine University","Denver","CO",3,4,4
"Michigan College of Beauty-Troy","Troy","MI",3,1,1
"Ogle School Hair Skin Nails-Dallas","Dallas","TX",3,1,1
"Phoenix Seminary","Scottsdale","AZ",2,4,4
"Faust Institute of Cosmetology-Spirit Lake","Spirit Lake","IA",3,1,1
"Cheeks Beauty Academy","Loveland","CO",3,1,1
"Colorado School of Healing Arts","Lakewood","CO",3,1,1
"Mt. Diablo Adult Education-Mt. Diablo USD","Concord","CA",1,1,1
"Greater Lowell Technical School","Tyngsboro","MA",1,1,1
"Academy of Hair Design-Pearl","Pearl","MS",3,1,1
"Genesis Career College-Lebanon","Lebanon","TN",3,1,1
"Southwest College for the Deaf","Big Spring","TX",1,2,2
"Fortis College-Richmond","Richmond","VA",3,2,1
"Midwest College of Oriental Medicine-Racine","Racine","WI",3,4,1
"Hacienda La Puente Adult Education","La Puente","CA",1,1,1
"La Belle Beauty Academy","Miami","FL",3,1,1
"Hawaii Community College","Hilo","HI",1,2,2
"Robert Fiance Beauty Schools-North Plainfield","North Plainfield","NJ",3,1,1
"Long Island Beauty School-Hauppauge","Hauppauge","NY",3,1,1
"Buckeye Joint Vocational School","New Philadelphia","OH",1,1,1
"Sandusky Career Center","Sandusky","OH",1,1,1
"Greater Altoona Career & Technology Center","Altoona","PA",1,1,1
"Central Texas Beauty College-Temple","Temple","TX",3,1,1
"Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program","Angola","NY",1,1,1
"Empire Beauty School-Brooklyn","Brooklyn","NY",3,1,1
"Eastern New Mexico University Ruidoso Branch Community College","Ruidoso","NM",1,2,2
"UEI College-Ontario","Ontario","CA",3,1,1
"UEI College-Reseda","Reseda","CA",3,1,1
"Beacon College","Leesburg","FL",2,3,3
"Acupuncture and Integrative Medicine College-Berkeley","Berkeley","CA",2,4,4
"Estrella Mountain Community College","Avondale","AZ",1,2,1
"Heartland Community College","Normal","IL",1,2,1
"University of the Potomac-Washington DC Campus","Washington","DC",3,4,3
"Rabbi Jacob Joseph School","Edison","NJ",2,3,3
"The Salon Professional Academy-Melbourne","Melbourne","FL",3,1,1
"Albert Einstein College of Medicine","Bronx","NY",2,4,4
"Fortis Institute-Scranton","Scranton","PA",3,2,2
"Everglades University","Boca Raton","FL",2,4,3
"Seminar L'moros Bais Yaakov","Brooklyn","NY",2,1,1
"Herzing University-Orlando","Winter Park","FL",2,4,2
"Cortiva Institute","Pompano Beach","FL",3,1,1
"College of Biblical Studies-Houston","Houston","TX",2,3,3
"Mid-EastCTC-Adult Education","Zanesville","OH",1,1,1
"Polaris Career Center","Middleburg Heights","OH",1,1,1
"P&A Scholars Beauty School","Detroit","MI",3,1,1
"Sharp's Academy of Hairstyling","Grand Blanc","MI",3,1,1
"The College of Health Care Professions-Northwest","Houston","TX",3,3,1
"School of Professional Horticulture New York Botanical Garden","Bronx","NY",2,0,1
"Fortis College","Houston","TX",3,2,1
"UEI College-Gardena","Gardena","CA",3,1,1
"Asian-American International Beauty College","Westminster","CA",3,1,1
"Copper Mountain Community College","Joshua Tree","CA",1,2,2
"Diversified Vocational College","Los Angeles","CA",3,1,1
"UEI College-Fresno","Fresno","CA",3,1,1
"Santiago Canyon College","Orange","CA",1,2,1
"Southern California Institute of Technology","Anaheim","CA",3,3,1
"Soka University of America","Aliso Viejo","CA",2,4,3
"Summit College","San Bernardino","CA",3,1,1
"Advance Beauty College","Garden Grove","CA",3,1,1
"Los Angeles Pacific College","Los Angeles","CA",3,2,1
"World Mission University","Los Angeles","CA",2,4,3
"Yo San University of Traditional Chinese Medicine","Los Angeles","CA",2,4,4
"John Amico School of Hair Design","Oak Forest","IL",3,1,1
"Delta College Inc","Covington","LA",3,1,1
"Tri-State Cosmetology Institute","El Paso","TX",3,1,1
"Frontier Community College","Fairfield","IL",1,2,1
"Lincoln Trail College","Robinson","IL",1,2,1
"Wabash Valley College","Mount Carmel","IL",1,2,2
"Brookline College-Tempe","Tempe","AZ",3,3,2
"Inter American University of Puerto Rico-School of Optometry","Bayamon","PR",2,4,4
"Schiller International University","Tampa","FL",3,4,3
"Coconino Community College","Flagstaff","AZ",1,2,1
"Emma's Beauty Academy-Juana Diaz","Juana Diaz","PR",3,1,1
"Brillare Beauty Institute","Cleveland","TN",2,1,1
"Pima Medical Institute-Denver","Denver","CO",3,2,1
"Ohio State School of Cosmetology-Heath","Heath","OH",3,1,1
"Yeshivas Novominsk","Brooklyn","NY",2,2,2
"Southern Careers Institute-Corpus Christi","Corpus Christi","TX",3,2,1
"Rabbinical College of Ohr Shimon Yisroel","Brooklyn","NY",2,3,3
"Carroll Community College","Westminster","MD",1,2,2
"Galen College of Nursing-Tampa Bay","Saint Petersburg","FL",3,3,2
"Galen College of Nursing-San Antonio","San Antonio","TX",3,3,2
"Sarasota School of Massage Therapy","Sarasota","FL",3,1,1
"Schuyler Steuben Chemung Tioga Allegany BOCES","Elmira","NY",1,1,1
"Delaware Chenango Madison Otsego BOCES-Practical Nursing Program","Norwich","NY",1,1,1
"Central Susquehanna Intermediate Unit LPN Career","Milton","PA",1,1,1
"Myotherapy Massage College","Millcreek City","UT",3,1,1
"G Skin & Beauty Institute","Oakbrook","IL",3,1,1
"Cosmetology Training Center","Lafayette","LA",3,1,1
"Stage One-The Hair School","Lake Charles","LA",3,1,1
"Empire Beauty School-Malden","Malden","MA",3,1,1
"Stephanie Moss Academy","Omaha","NE",3,1,1
"Orlo School of Hair Design and Cosmetology","Albany","NY",3,1,1
"Eastland-Fairfield Career and Technical Schools","Groveport","OH",1,1,1
"Empire Beauty School-Cincinnati","Cincinnati","OH",3,1,1
"Mahoning County Career and Technical Center","Canfield","OH",1,1,1
"Pickaway Ross Joint Vocational School District","Chillicothe","OH",1,1,1
"Pioneer Career and Technology Center","Shelby","OH",1,1,1
"Raphael's School of Beauty Culture Inc-Boardman","Boardman","OH",3,1,1
"Scioto County Career Technical Center","Lucasville","OH",1,1,1
"Pacific Bible College","Medford","OR",2,2,2
"Lake Erie College of Osteopathic Medicine","Erie","PA",2,4,1
"UCAS University of Cosmetology Arts & Sciences-Harlingen","Harlingen","TX",3,1,1
"KaiStar","Federal Way","WA",3,1,1
"Empire Beauty School-Green Bay","Ashwaubenon","WI",3,1,1
"Warren County Career Center","Lebanon","OH",1,1,1
"Paul Mitchell the School-Wichita","Wichita","KS",3,1,1
"Pinnacle Institute of Cosmetology","Mooresville","NC",3,1,1
"Southern Careers Institute-Pharr","Pharr","TX",3,2,1
"Florida National University-Main Campus","Hialeah","FL",3,4,3
"Georgia Institute of Cosmetology","Athens","GA",3,1,1
"Nouvelle Institute","Miami","FL",3,1,1
"Franklin Technology Center Adult Education","Joplin","MO",1,1,1
"Professional Technical Institution","Bayamon","PR",3,1,1
"Erikson Institute","Chicago","IL",2,4,4
"South Texas College","McAllen","TX",1,3,2
"Pike County Joint Vocational School District","Piketon","OH",1,1,1
"Lorain County Joint Vocational School District","Oberlin","OH",1,1,1
"Roger Williams University School of Law","Bristol","RI",2,4,4
"California State University-Monterey Bay","Seaside","CA",1,4,3
"Ohio Media School-Valley View","Valley View","OH",3,1,1
"EINE Inc","Tewksbury","MA",3,1,1
"Marian Health Careers Center-Los Angeles Campus","Los Angeles","CA",3,1,1
"Cleveland Clinic Health System-School of Diagnostic Imaging","Euclid","OH",2,1,1
"Academy for Nursing and Health Occupations","West Palm Beach","FL",2,2,2
"Shawsheen Valley School of Practical Nursing","Billerica","MA",1,1,1
"Shear Ego International School of Hair Design","Rochester","NY",3,1,1
"Remington College-Memphis Campus","Memphis","TN",2,2,1
"Fayette Institute of Technology","Oak Hill","WV",1,1,1
"Capella University","Minneapolis","MN",3,4,3
"College of Menominee Nation","Keshena","WI",2,3,2
"Leech Lake Tribal College","Cass Lake","MN",1,2,2
"Spartan College of Aeronautics & Technology","Inglewood","CA",3,2,1
"Yukon Beauty College Inc","Yukon","OK",3,1,1
"United Education Institute-Morrow","Morrow","GA",3,1,1
"Artistic Academy of Hair Design","Morris Plains","NJ",3,1,1
"Motoring Technical Training Institute","Seekonk","MA",3,1,1
"Mech-Tech College","Caguas","PR",3,2,1
"Baldwin Beauty School-North Austin","Austin","TX",3,1,1
"Jean Madeline Aveda Institute","Philadelphia","PA",3,1,1
"Pacific College of Health and Science","New York","NY",3,4,2
"Tricoci University of Beauty Culture-Indianapolis","Indianapolis","IN",3,1,1
"Trine University-Regional/Non-Traditional Campuses","Angola","IN",2,4,3
"Pennsylvania Highlands Community College","Johnstown","PA",1,2,2
"Nevada Career Institute","Las Vegas","NV",3,2,1
"Phillips Theological Seminary","Tulsa","OK",2,4,4
"Empire Beauty School-Hanover","Hanover","PA",3,1,1
"Industrial Management Training Institute","Waterbury","CT",3,1,1
"Allen School-Jamaica","Jamaica","NY",3,1,1
"Premiere Career College","Irwindale","CA",3,2,1
"The University of Texas MD Anderson Cancer Center","Houston","TX",1,4,3
"Paul Mitchell the School-Huntsville","Madison","AL",3,1,1
"Estes Institute of Cosmetology Arts and Science","Visalia","CA",3,1,1
"Baldwin Park Adult & Community Education","Baldwin Park","CA",1,1,1
