"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"College of the Canyons","Santa Clarita","CA",1,2,2
"Career Academy of Beauty","Garden Grove","CA",3,1,1
"Casa Loma College-Los Angeles","Sherman Oaks","CA",2,2,2
"CET-San Diego","San Diego","CA",2,1,1
"CET-San Jose","San Jose","CA",2,1,1
"CET-El Centro","El Centro","CA",2,1,1
"CET-Colton","Colton","CA",2,1,1
"CET-Watsonville","Watsonville","CA",2,1,1
"CET-Salinas","Salinas","CA",2,1,1
"Cerritos College","Norwalk","CA",1,2,1
"Cerro Coso Community College","Ridgecrest","CA",1,2,2
"Chabot College","Hayward","CA",1,2,2
"Chaffey College","Rancho Cucamonga","CA",1,2,2
"Chapman University","Orange","CA",2,4,3
"Charles R Drew University of Medicine and Science","Los Angeles","CA",2,4,3
"Concordia University-Irvine","Irvine","CA",2,4,3
"San Diego Christian College","Santee","CA",2,4,3
"Church Divinity School of the Pacific","Berkeley","CA",2,4,4
"Citrus College","Glendora","CA",1,2,1
"Citrus Heights Beauty College","Citrus Heights","CA",3,1,1
"City College of San Francisco","San Francisco","CA",1,2,1
"Claremont Graduate University","Claremont","CA",2,4,4
"Claremont McKenna College","Claremont","CA",2,4,3
"Milan Institute-Visalia","Visalia","CA",3,1,1
"Clovis Adult Education","Clovis","CA",1,1,1
"Coastline Community College","Fountain Valley","CA",1,2,2
"University of Silicon Valley","San Jose","CA",3,4,3
"Coba Academy","Anaheim","CA",3,1,1
"Western University of Health Sciences","Pomona","CA",2,4,4
"Columbia College","Sonora","CA",1,2,2
"California College of ASU","Los Angeles","CA",2,3,3
"Compton College","Compton","CA",1,2,2
"Contra Costa College","San Pablo","CA",1,2,1
"Cosumnes River College","Sacramento","CA",1,2,2
"Crafton Hills College","Yucaipa","CA",1,2,2
"Cuesta College","San Luis Obispo","CA",1,2,1
"Cuyamaca College","El Cajon","CA",1,2,2
"Cypress College","Cypress","CA",1,3,1
"De Anza College","Cupertino","CA",1,2,2
"International School of Beauty Inc","Palm Desert","CA",3,1,1
