"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"405",2024-08-24,"new york","ny","CUNY Bernard M Baruch College","baruch college, manhattan",NA,NA,"Lions of Israel & America",NA,"against pro-Palestine demonstration",7,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"406",2024-08-24,"purchase","ny","SUNY at Purchase College","suny purchase",NA,NA,"Raise the Consciousness at SUNY Purchase",NA,"for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"407",2024-08-25,"bloomington","in","Indiana University-Bloomington","indiana university","Remembering Free Speech Candlelight Vigil",NA,NA,"students; faculty","for freedom of speech at Indiana University;for academic freedom;for diversity;for shared governance;against new expressive activities policy;for Palestinian liberation;against war",60,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"408",2024-08-25,"detroit","mi","Wayne State University","wayne state university",NA,NA,"Students for Justice in Palestine","students","for divesting Wayne State University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Detroit","MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"409",2024-08-25,"new york","ny","Columbia University in the City of New York","columbia university, manhattan","Columbia University Convocation 2024 Emergency Noise Demo & Rally",NA,"Columbia University Apartheid Divest; Within Our Lifetime; Columbia SJP","students","for divesting Columbia University from Israel;against genocide in Gaza;for Palestinian liberation;against displacement from Harlem",55,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"410",2024-08-25,"burlington","vt","University of Vermont","university of vermont","Tell the UVM Board of Trustees: Divest from Israel",NA,NA,NA,"for divesting University of Vermont from Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth","Burlington","VT",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"411",2024-08-26,"birmingham","al","University of Alabama at Birmingham","university of alabama birmingham",NA,NA,NA,NA,"for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"AL",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"412",2024-08-26,"claremont","ca","Harvey Mudd College","harvey mudd college","Vigil for Palestine",NA,"7C Staff for Palestine",NA,"in remembrance of Palestinians killed under occupation;in honor of Palestinians who cannot return to school because of occupation;for Palestinian liberation",NA,2024,NA,"Chenoweth","Claremont","CA",2,3,"Democratic-State","Private","west","Gaza Related","No Arrests"
"413",2024-08-26,"san francisco","ca","San Francisco State University","san francisco state university","Vigil for Our Martyrs",NA,"Students for Gaza SFSU","students","in remembrance of Palestinians killed in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","San Francisco","CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"414",2024-08-26,"greeley","co","University of Northern Colorado","university of northern colorado",NA,NA,"Greeley Students for Palestine","students","against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Greeley","CO",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"415",2024-08-26,"mansfield","ct","University of Connecticut","university of connecticut",NA,NA,"UConnDivest","students; faculty","for divesting University of Connecticut from Israel;for divesting from the war industry;for boycotting Israel;against genocide in Gaza;for ending repression of Palestine solidarity activists;against Islamophobia and anti-Black racism at University of Connecticut;for freedom of speech on campus;for Palestinian liberation",60,2024,NA,"Chenoweth","Storrs","CT",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"416",2024-08-26,"ithaca","ny","Cornell University","cornell university","Welcome to the Job Kotlikoff",NA,"Coalition for Mutual Liberation",NA,"for divesting Cornell University for Israel;for Palestinian liberation",150,2024,NA,"Chenoweth","Ithaca","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"417",2024-08-26,"ithaca","ny","Cornell University","cornell university",NA,NA,NA,NA,"for divesting Cornell University for Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth","Ithaca","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"418",2024-08-26,"new york","ny","New York University","new york university tandon school of engineering, brooklyn",NA,NA,"NYU Students for a Democratic Society; Neturei Karta","students; community members","for divesting New York University from Israel and military defense companies with ties to Israel;against genocide in Gaza;for Palestinian liberation",18,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"419",2024-08-26,"oberlin","oh","Oberlin College","oberlin college","Vigil for Palestine",NA,"Oberlin College for Palestine",NA,"against genocide in Gaza;against U.S. aid to Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth","Oberlin","OH",2,4,"Republican-State","Private","midwest","Gaza Related","No Arrests"
"420",2024-08-26,"state college","pa","Pennsylvania State University-Main Campus","pennsylvania state university",NA,NA,"Student Committee for Defense and Solidarity - State College","students","against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"PA",1,4,"Republican-State","Public","northeast","Gaza Related","No Arrests"
"421",2024-08-26,"state college","pa","Pennsylvania State University-Main Campus","pennsylvania state university",NA,NA,NA,NA,"against pro-Palestine banner",1,2024,NA,"Chenoweth",NA,"PA",1,4,"Republican-State","Public","northeast","Gaza Related","No Arrests"
"422",2024-08-26,"college station","tx","Texas A & M University-College Station","texas a&m university",NA,NA,"Aggies Against Apartheid; Young Democratic Socialists of America","students","for the A&M System to disclose all investments that are tied to the TAMU System;for divesting Texas A&M University from companies and other securities that are perpetuating apartheid and genocide in Palestine;for implementing ethical and sustainable investment policies;for Palestinian liberation;for raising funds for Aggies with families actively stuck in Gaza",NA,2024,NA,"Chenoweth",NA,"TX",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"423",2024-08-26,"houston","tx","University of Houston","university of houston","Popular University for Palestine",NA,"Students for Justice in Palestine HTX","students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"424",2024-08-26,"madison","wi","University of Wisconsin-Madison","university of wisconsin-madison",NA,NA,"AFT-Wisconsin; TAA-Madison","educators; teachers","for demanding to meet and confer with Chancellor Mnookin",44,2024,NA,"Chenoweth","Madison","WI",1,4,"Republican-State","Public","midwest","Non-Gaza Related","Arrests"
"425",2024-08-27,"claremont","ca","Pomona College","pomona college","Rally Against Repression",NA,"Pomona Divest from Apartheid","students","for divesting Pomona College from Israel;against repression of student divestment movement;against genocide in Gaza;for Palestinian liberation",68,2024,NA,"Chenoweth","Claremont","CA",2,3,"Democratic-State","Private","west","Gaza Related","No Arrests"
"426",2024-08-27,"baton rouge","la","Louisiana State University and Agricultural & Mechanical College","louisiana state university",NA,NA,"Students for a Democratic Society","students","against Louisiana State University Faculty Senate resolution calling for LSU to remain neutral on social and political issues;against genocide in Gaza;for Palestinian liberation",3,2024,NA,"Chenoweth",NA,"LA",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"427",2024-08-27,"college park","md","University of Maryland-College Park","university of maryland","15,000 Flags for Gaza",NA,"UMD SJP","students","in remembrance of Palestinians killed in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"MD",1,4,"Democratic-State","Public","south","Gaza Related","No Arrests"
"428",2024-08-27,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan","Tatreez Tuesdays",NA,"University of Michigan Faculty and Staff for Justice in Palestine","faculty; staff","in remembrance of Palestinians killed in Gaza since October 2023;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"429",2024-08-27,"new york","ny","Columbia University in the City of New York","columbia university, manhattan","Unmask Campus Hate Rally",NA,"End Jew Hatred; CPT NYC; SAFE Campus; Generation Zion; American Russian-Speaking Jews Alliance; Lions of Israel & America",NA,"for banning masks on college campuses;against antisemitism and hate speech at Columbia University;in solidarity with Israel",100,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"430",2024-08-27,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,NA,"Neturei Karta",NA,"against pro-Israel rally;for Palestinian liberation",30,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"431",2024-08-27,"athens","oh","Ohio University-Main Campus","ohio university",NA,NA,"Ohio University Students for Justice in Palestine",NA,"for Palestinian liberation;for ceasefire in Gaza",NA,2024,NA,"Chenoweth",NA,"OH",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"432",2024-08-27,"houston","tx","University of Houston","university of houston","Popular University for Palestine",NA,"Students for Justice in Palestine HTX","students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"433",2024-08-27,"burlington","vt","University of Vermont","university of vermont","Grad Students United Rally",NA,"UVM Graduate Students United","graduate student workers","for a fair contract for University of Vermont graduate student workers",NA,2024,NA,"Chenoweth","Burlington","VT",1,4,"Democratic-State","Public","northeast","Non-Gaza Related","No Arrests"
"434",2024-08-28,"mansfield","ct","University of Connecticut","university of connecticut","Pack the Union for Gaza",NA,"UConn Divest",NA,"for divesting University of Connecticut from Israel;for divesting from the war industry;for boycotting Israel;against genocide in Gaza;for ending repression of Palestine solidarity activists;against Islamophobia and anti-Black racism at University of Connecticut;for freedom of speech on campus;for Palestinian liberation",NA,2024,NA,"Chenoweth","Storrs","CT",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"435",2024-08-28,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan","No Back to School in Gaza!",NA,"TAHRIR Coalition","students","against genocide in Gaza;for divesting University of Michigan from Israel;for Palestinian liberation",48,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"436",2024-08-28,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan",NA,NA,NA,"students","against pro-Palestine demonstration;in solidarity with Israel",28,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"437",2024-08-28,"new york","ny","CUNY Bernard M Baruch College","baruch college, manhattan",NA,NA,"New York Revolutionary Youth",NA,"for divesting City University of New York from Israel;against genocide in Gaza;for Palestinian liberation",4,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"438",2024-08-28,"new york","ny","College of Staten Island CUNY","college of staten island, staten island",NA,NA,NA,"students","for divesting City University of New York from Israel;for removing police from CUNY campuses;for tuition-free CUNY;for dropping felony charges against arrested student protesters;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"439",2024-08-28,"new york","ny","CUNY Queens College","queens college, queens",NA,NA,"NY Revolutionary Youth",NA,"for Palestinian liberation;against City University of New York's complicity in occupation and genocide",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"440",2024-08-28,"stony brook","ny","Stony Brook University","stony brook university","Rally for Divestment",NA,"Stony Brook Students for Justice in Palestine",NA,"for divesting Stony Brook University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Stony Brook","NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"441",2024-08-28,"arlington","tx","The University of Texas at Arlington","university of texas arlington","Speak Out for the Library",NA,"Progressive Student Union at UT Arlington",NA,"against reduced hours at University of Texas Arlington library",NA,2024,NA,"Chenoweth",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"442",2024-08-28,"houston","tx","University of Houston","university of houston","Popular University for Palestine",NA,"Students for Justice in Palestine HTX","students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"443",2024-08-28,"richmond","va","Virginia Commonwealth University","virginia commonwealth university",NA,NA,"SJP at VCU","students","for divesting Virginia Commonwealth University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Richmond","VA",1,4,"Democratic-State","Public","south","Gaza Related","Arrests"
"444",2024-08-28,"burlington","vt","University of Vermont","university of vermont","Israel Is Invading the West Back",NA,"UVM Union of Students; Vermont Coalition for Palestinian Liberation; UVM Students for Justice in Palestine","students","against Israel's military attacks in the West Bank;against genocide in Gaza;for divesting University of Vermont from Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth","Burlington","VT",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"445",2024-08-28,"wenatchee","wa","Wenatchee Valley College","wenatchee valley college",NA,NA,NA,"staff","for a better cost of living increase for WVC employees in their next contract",NA,2024,NA,"Chenoweth","Wenatchee","WA",1,3,"Democratic-State","Public","west","Non-Gaza Related","No Arrests"
"446",2024-08-29,"berkeley","ca","University of California-Berkeley","university of california berkeley",NA,NA,"Bears for Palestine; SJP; UC Berkeley Law Students for Justice in Palestine; Muslim Student Association","students; faculty","for divesting University of California Berkeley from Israel;against new university restrictions on protest activity;for academic boycott of Israel;for Palestinian liberation;for international workers action against U.S./Israeli genocide",175,2024,NA,"Chenoweth",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","Arrests"
"447",2024-08-29,"los angeles","ca","University of Southern California","usc school of cinematic arts",NA,NA,NA,"adjunct professors","for fair contracts for USC School of Cinematic Arts adjunct professors",50,2024,NA,"Chenoweth",NA,"CA",2,4,"Democratic-State","Private","west","Non-Gaza Related","Arrests"
"448",2024-08-29,"san francisco","ca","San Francisco State University","san francisco state university",NA,NA,"Students for Gaza SFSU; Bay Area Students for Palestine; General Union Of Palestinian Students at San Francisco State; La Raza SFSU","students","for arms embargo on Israel;for ending Israeli occupation;for Palestinian liberation",150,2024,NA,"Chenoweth","San Francisco","CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"449",2024-08-29,"tampa","fl","University of South Florida","university of south florida",NA,NA,"USF Divest Coalition; USF Students for Socialism","students","for University of Southern Florida to divest from Israel;for Palestinian liberation",12,2024,NA,"Chenoweth","Tampa","FL",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"450",2024-08-29,"chicago","il","University of Illinois Chicago","university of illinois chicago",NA,NA,"Students for a Democratic Society at UIC; SJP at UIC; Anakbayan; FRSO","students","for divesting University of Illinois Chicago from Israel;against genocide in Gaza;for Palestinian liberation",80,2024,NA,"Chenoweth","Chicago","IL",1,4,"Democratic-State","Public","midwest","Gaza Related","No Arrests"
"451",2024-08-29,"bloomington","in","Indiana University-Bloomington","indiana university","Rally for Palestine",NA,"IU Divestment Coalition; Palestine Solidarity Coalition @ IU","students","for divesting Indiana University from Israel;against genocide in Gaza;for Palestinian liberation",250,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"452",2024-08-29,"bloomington","in","Indiana University-Bloomington","indiana university",NA,NA,NA,NA,"against pro-Palestine protest at Indiana University;in solidarity with Israel",2,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"453",2024-08-29,"bloomington","in","Indiana University-Bloomington","indiana university",NA,NA,NA,NA,"for firing Indiana University president Pamela Whitten",NA,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Non-Gaza Related","Arrests"
"454",2024-08-29,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan; washtenaw county jail","Release Arrested Student Protester Now",NA,"TAHRIR Coalition","students","for releasing arrested student activist;against repression of pro-Palestine protests at University of Michigan;for Palestinian liberation",50,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"455",2024-08-29,"new york","ny","CUNY Hunter College","hunter college, manhattan","Disrupt Hunter for Gaza Noise Demo & Rally",NA,"Palestine Solidarity Alliance of Hunter College; NY Revolutionary Youth; CUNY for Palestine; Hunter College DSA; Hunter College Asian Student Union; Hunter College Pakistani Students Organization; Muslims Give Back - Hunter College; Hunter College Mexican Student Union; CUNY Internationalist Club","students","for divesting Hunter College from Israel;against genocide in Gaza;against punishment of pro-Palestinian student protesters;for Palestinian liberation",55,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"456",2024-08-29,"philadelphia","pa","Temple University","temple university","Dis-Orientation Rally",NA,"Temple University SJP","students; faculty; community members; children","against genocide and scholasticide in Gaza;for accountability for Temple University;against disciplinary actions for pro-Palestine student protesters;for Palestinian liberation",125,2024,NA,"Chenoweth","Philadelphia","PA",1,4,"Republican-State","Public","northeast","Gaza Related","No Arrests"
"457",2024-08-29,"houston","tx","University of Houston","university of houston","Popular University for Palestine",NA,"Students for Justice in Palestine HTX","students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"458",2024-08-29,"houston","tx","University of Houston","university of houston",NA,NA,NA,"students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",2,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"459",2024-08-30,"greeley","co","University of Northern Colorado","university of northern colorado","March for Palestine",NA,"Greeley Students for Palestine",NA,"against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Greeley","CO",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"460",2024-08-30,"iowa city","ia","University of Iowa","university of iowa","Ceasefire Now Rally",NA,"Iowans for Palestine",NA,"for ceasefire in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"461",2024-08-30,"minneapolis","mn","University of Minnesota-Twin Cities","university of minnesota","UMN Stand With Palestine! Divest from Genocide Rally & March",NA,"UMN Divest Coalition; Students for a Democratic Society; Students for Justice in Palestine; Young Democratic Socialists of America","students; staff; faculty; community members","for divesting University of Minnesota from weapons manufacturers and all corporations complicit in genocide;for Palestinian liberation",150,2024,NA,"Chenoweth",NA,"MN",1,4,"Democratic-State","Public","midwest","Gaza Related","Arrests"
"462",2024-08-30,"pittsburgh","pa","Carnegie Mellon University","carnegie mellon university",NA,NA,NA,"students; staff; faculty","against Carnegie Mellon University's new restrictions on campus protest activity;for freedom of speech",30,2024,NA,"Chenoweth","Pittsburgh","PA",2,4,"Republican-State","Private","northeast","Non-Gaza Related","No Arrests"
"463",2024-08-30,"pittsburgh","pa","University of Pittsburgh-Pittsburgh Campus","university of pittsburgh",NA,NA,"Fossil Free Pitt Coalition",NA,"against University of Pittsburgh's role in causing climate change",NA,2024,NA,"Chenoweth",NA,"PA",1,4,"Republican-State","Public","northeast","Non-Gaza Related","Arrests"
"464",2024-08-30,"blacksburg","va","Virginia Polytechnic Institute and State University","virginia tech university",NA,NA,NA,"students","for arms embargo on Israel;against genocide in Gaza;for Palestinian liberation",70,2024,NA,"Chenoweth",NA,"VA",1,4,"Democratic-State","Public","south","Gaza Related","Arrests"
"465",2024-08-31,"columbia","mo","University of Missouri-Columbia","university of missouri; columbia city hall","Ceasefire Now",NA,"Mizzou Students for Justice in Palestine; ICCM; YDSA; University of Missouri MSO; Mid-Missourians for Justice in Palestine","students; community members","for ceasefire in Gaza;against genocide in Gaza",NA,2024,NA,"Chenoweth",NA,"MO",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"466",2024-09-01,"bloomington","in","Indiana University-Bloomington","indiana university","R.I.P. Free Speech",NA,"Indiana Graduate Workers Coalition; United Electrical Workers",NA,"against Indiana University's new restrictions on campus protests;for free speech;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"467",2024-09-01,"cambridge","ma","Harvard University","harvard university",NA,NA,"Harvard Hillel; Harvard Chabad","Harvard affiliates; undergraduate and graduate students; Cambridge residents; community members","for release of Israeli hostages held by Hamas;in solidarity with Israel",200,2024,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"468",2024-09-01,"syracuse","ny","Syracuse University","syracuse university","Community Vigil in Remembrance of the Six Hostages",NA,"Students Supporting Israel; Israeli-American Council; StandWithUs; Israel Culture Club","students; community members","for release of hostages held by Hamas;in solidarity with Israel",40,2024,NA,"Chenoweth","Syracuse","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"469",2024-09-02,"middletown","ct","Wesleyan University","wesleyan university",NA,NA,"Wesleyan SJP","students","for divesting Wesleyan University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Middletown","CT",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"470",2024-09-02,"ithaca","ny","Cornell University","cornell university",NA,NA,"Cornellians for Israel Club","students; community members","in remembrance of murdered Israeli hostages;for release of hostages held by Hamas;in solidarity with Israel",150,2024,NA,"Chenoweth","Ithaca","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"471",2024-09-02,"columbus","oh","Ohio State University-Main Campus","ohio state university",NA,NA,"OSU Schottenstein Chabad House",NA,"in remembrance of murdered Israeli hostages;for release of hostages held by Hamas;in solidarity with Israel",100,2024,NA,"Chenoweth",NA,"OH",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"472",2024-09-02,"oberlin","oh","Oberlin College","oberlin college","Vigil for Palestine",NA,"Oberlin College for Palestine",NA,"against genocide in Gaza;against U.S. aid to Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth","Oberlin","OH",2,4,"Republican-State","Private","midwest","Gaza Related","No Arrests"
"473",2024-09-03,"denver","co","University of Colorado Denver/Anschutz Medical Campus","auraria campus","Chalk the Walk With CSP Denver",NA,"Community in Solidarity for Palestine Denver","students","for divesting Metropolitan State University and University of Colorado from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"CO",1,4,"Democratic-State","Public","west","Gaza Related","Arrests"
"474",2024-09-03,"tampa","fl","University of South Florida","university of south florida",NA,NA,"Tampa Bay Students for a Democratic Society","students; community members","for Palestinian liberation;against restrictions on protest activity at University of South Florida;against police violence targeted at pro-Palestine protestors;against Democratic and GOP support for genocide",20,2024,NA,"Chenoweth","Tampa","FL",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"475",2024-09-03,"chicago","il","DePaul University","depaul university",NA,NA,"Run for Their Lives",NA,"in remembrance of hostages killed in Gaza;for releasing hostages held by Hamas;in solidarity with Israel",NA,2024,NA,"Chenoweth","Chicago","IL",2,4,"Democratic-State","Private","midwest","Gaza Related","Arrests"
"476",2024-09-03,"bloomington","in","Indiana University-Bloomington","indiana university",NA,NA,"Indiana University Hillel",NA,"in remembrance of six Israeli hostages killed in Gaza;for release of hostages held by Hamas;in solidarity with Israel",60,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"477",2024-09-03,"bloomington","in","Indiana University-Bloomington","indiana university",NA,NA,NA,"members of the IU community","against genocide in Gaza;for Palestinian liberation;against new restrictions on protest activity at Indiana University",2,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"478",2024-09-03,"cambridge","ma","Harvard University","harvard university",NA,NA,NA,"faculty members; professors","against new campus use rules at Harvard University;for freedom of speech;for academic freedom",5,2024,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"479",2024-09-03,"medford","ma","Tufts University","tufts university","No School Year in Gaza Vigil",NA,"Tufts SJP","students","in remembrance of victims of genocide in Gaza;against scholasticide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"480",2024-09-03,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan","Tatreez Tuesdays",NA,"University of Michigan Faculty and Staff for Justice in Palestine",NA,"in remembrance of Palestinians killed in Gaza since October 2023;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"481",2024-09-03,"durham","nc","Duke University","duke university","Labor Day Rally",NA,"Duke Graduate Students Union, UE Local 150, Duke Faculty Union","graduate students; workers","for higher pay and better benefits for graduate student workers at Duke University;for Duke University to give graduate student workers fair contracts",NA,2024,NA,"Chenoweth","Durham","NC",2,4,"Republican-State","Private","south","Non-Gaza Related","No Arrests"
"482",2024-09-03,"princeton","nj","Princeton University","princeton university","Welcome Back to the Popular University",NA,"Central NJ Revolutionary Youth; Princeton YDSA; Rutgers Anti-Zionist Minyan",NA,"for divesting Princeton University from Israel and weapons manufacturing;against genocide in Gaza;for Palestinian liberation",200,2024,NA,"Chenoweth","Princeton","NJ",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"483",2024-09-03,"princeton","nj","Princeton University","princeton university",NA,NA,NA,NA,"against pro-Palestine demonstration at Princeton University;in solidarity with Israel",NA,2024,NA,"Chenoweth","Princeton","NJ",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"484",2024-09-03,"new york","ny","CUNY Bernard M Baruch College","baruch college, manhattan",NA,NA,NA,"students","for divesting Baruch College from Israel;against genocide in Gaza;against Hillel's presence at Baruch College;for Palestinian liberation",40,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"485",2024-09-03,"new york","ny","CUNY Bernard M Baruch College","baruch college, manhattan",NA,NA,NA,"students","against pro-Palestine demonstration;in solidarity with Israel",22,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"486",2024-09-03,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,NA,NA,NA,"for divesting Columbia University from all settler colonial violence;against American imperialism;in support of Palestinian resistance;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"487",2024-09-03,"new york","ny","Columbia University in the City of New York","columbia university, manhattan","Shut It Down",NA,"Columbia University Apartheid Divest; Neturei Karta","students","for divesting Columbia University from Israel;against genocide in Gaza;for Palestinian liberation",37,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"488",2024-09-03,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,NA,NA,"students; community members","against pro-Palestinian demonstration at Columbia University;in solidarity with Israel",NA,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"489",2024-09-04,"washington","dc","Georgetown University","georgetown university",NA,NA,"Georgetown University SJP","students","for Palestinian liberation",150,2024,NA,"Chenoweth","Washington","DC",2,4,"Democratic-State","Private","south","Gaza Related","No Arrests"
"490",2024-09-04,"chicago","il","DePaul University","depaul university","Run for Their Lives",NA,"Chicago Jewish Alliance; Run For Your Lives Chapter at DePaul University",NA,"for releasing hostages held by Hamas;in solidarity with Israel",NA,2024,NA,"Chenoweth","Chicago","IL",2,4,"Democratic-State","Private","midwest","Gaza Related","Arrests"
