"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1742",2024-12-06,"amherst","ma","University of Massachusetts-Amherst","university of massachusetts amherst","UMass People's Assembly",NA,"UMass SJP; FJP; UMass for Palestine; Young Communist League; UAW",NA,"against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"MA",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1743",2024-12-06,"albuquerque","nm","University of New Mexico-Main Campus","university of new mexico",NA,NA,"UNM SJP; Biology Students Against Imperialism; SouthWest Solidarity Network; LSAI","students","for divesting University of New Mexico from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NM",1,4,"Democratic-State","Public","west","Gaza Related","Arrests"
"1744",2024-12-06,"pittsburgh","pa","University of Pittsburgh-Pittsburgh Campus","university of pittsburgh",NA,NA,"Fossil Free Pitt Coalition",NA,"against University of Pittsburgh's role in causing climate change",NA,2024,NA,"Chenoweth",NA,"PA",1,4,"Republican-State","Public","northeast","Non-Gaza Related","Arrests"
"1745",2024-12-06,"swarthmore","pa","Swarthmore College","swarthmore college","We Won't Rest Til You Divest",NA,"Swarthmore SJP; Black at Swarthmore; Redefining Asian Activism; Swarthmore SJP","students","for divesting Swarthmore College from Israel;against genocide in Gaza;for Palestinian liberation",35,2024,NA,"Chenoweth","Swarthmore","PA",2,3,"Republican-State","Private","northeast","Gaza Related","No Arrests"
"1746",2024-12-07,"minneapolis","mn","University of Minnesota-Twin Cities","university of minnesota",NA,NA,"Educators for Justice in Palestine; UMN SDS","faculty; students; staff; alumni; community members","in commemoration of the anniversary of the targeted murder of Refaat Alareer;against scholasticide in Gaza;against genocide in Gaza;for Palestinian liberation",50,2024,NA,"Chenoweth",NA,"MN",1,4,"Democratic-State","Public","midwest","Gaza Related","Arrests"
"1747",2024-12-07,"new york","ny","CUNY City College","city university of new york, manhattan",NA,NA,"FIT SJP","students","for divesting City University of New York and State University of New York from Israel;against genocide in Gaza;for Palestinian liberation",9,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1748",2024-12-07,"reading","pa","Albright College","albright college",NA,NA,"Berks for Palestine",NA,"against genocide in Gaza;for arms embargo on Israel;for Palestinian liberation",6,2024,NA,"Chenoweth","Reading","PA",2,4,"Republican-State","Private","northeast","Gaza Related","No Arrests"
"1749",2024-12-07,"newport news","va","Christopher Newport University","christopher newport university","CNU Palestine Solidarity Demonstration",NA,"CNU YDSA","students; community members","against genocide in Gaza;for ending Israel's occupation of Palestine;for Palestinian liberation",NA,2024,NA,"Chenoweth","Newport News","VA",1,4,"Democratic-State","Public","south","Gaza Related","No Arrests"
"1750",2024-12-08,"bloomington","in","Indiana University-Bloomington","indiana university","Remembering Free Speech Candlelight Vigil",NA,"IU Divestment Coalition",NA,"against Indiana University's Expressive Activity Policy;for freedeom of speech and assembly;for academic freedom",NA,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Non-Gaza Related","Arrests"
"1751",2024-12-09,"los angeles","ca","University of Southern California","university of southern california",NA,NA,"SJP; FJP; USC Divest from Death Coalition","students; faculty","in remembrance of Palestinians killed in Gaza since October 2023;against genocide in Gaza;for Palestinian liberation",20,2024,NA,"Chenoweth","Los Angeles","CA",2,4,"Democratic-State","Private","west","Gaza Related","Arrests"
"1752",2024-12-09,"boulder","co","University of Colorado Boulder","university of colorado boulder","Occupy Norlin",NA,"Boulder SJP","students","for divesting University of Colorado from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Boulder","CO",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"1753",2024-12-09,"chicago","il","University of Chicago","university of chicago","Solidarity Study-In",NA,"SJP UChicago; UChicago United for Palestine; FSJP","students; faculty","for divesting University of Chicago from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Chicago","IL",2,4,"Democratic-State","Private","midwest","Gaza Related","No Arrests"
"1754",2024-12-09,"ithaca","ny","Cornell University","cornell university","Last Day of Class Rally & Die-In for Palestine",NA,"The Coalition for Mutual Liberation","students","for divesting Cornell University from Israel;against genocide in Gaza;against scholasticide and famine in Gaza;for Palestinian liberation",30,2024,NA,"Chenoweth","Ithaca","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
